City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
95,Upernavik,GL,2021-04-01 14:17:48,72.7868,-56.1549,23.18,67,100,8.93
96,Bengkulu,ID,2021-04-01 14:17:49,-3.8004,102.2655,76.44,89,100,8.05
97,Ilulissat,GL,2021-04-01 14:17:49,69.2167,-51.1,28.4,86,75,8.05
98,Avera,US,2021-04-01 14:17:49,33.194,-82.5271,51.01,43,1,12.66
99,Margate,GB,2021-04-01 14:15:07,51.3813,1.3862,46.0,72,13,7.0
100,Peddapuram,IN,2021-04-01 14:17:50,17.0833,82.1333,91.4,52,20,9.22
101,Saint-Philippe,RE,2021-04-01 14:17:50,-21.3585,55.7679,80.6,69,75,21.85
102,Novaya Lyada,RU,2021-04-01 14:17:50,52.7131,41.6387,44.35,80,100,11.56
103,Kruisfontein,ZA,2021-04-01 14:17:51,-34.0033,24.7314,68.0,64,100,5.99
104,Potsdam,DE,2021-04-01 14:17:52,52.3989,13.0657,63.0,56,93,1.01
105,Comodoro Rivadavia,AR,2021-04-01 14:17:52,-45.8667,-67.5,55.4,100,90,2.3
106,East London,ZA,2021-04-01 14:17:52,-33.0153,27.9116,66.2,68,20,11.5
107,Iwaki,JP,2021-04-01 14:17:52,37.05,140.8833,51.01,87,100,1.01
108,Duluth,US,2021-04-01 14:17:53,46.7833,-92.1066,28.99,63,1,4.61
109,Tommot,RU,2021-04-01 14:17:53,58.9564,126.2925,15.78,93,100,2.8
110,Qaqortoq,GL,2021-04-01 14:17:53,60.7167,-46.0333,35.6,80,75,3.44
111,Taksimo,RU,2021-04-01 14:17:54,56.3444,114.8794,18.18,88,92,5.93
112,Yellowknife,CA,2021-04-01 14:13:14,62.456,-114.3525,8.6,85,90,18.41
113,Iqaluit,CA,2021-04-01 14:17:54,63.7506,-68.5145,-20.0,69,40,25.32
114,Bakel,SN,2021-04-01 14:17:54,14.905,-12.4568,109.09,4,21,12.15
115,Majene,ID,2021-04-01 14:17:55,-3.5403,118.9707,80.74,76,100,7.72
116,Provideniya,RU,2021-04-01 14:17:55,64.3833,-173.3,-0.13,91,93,0.78
117,Tuatapere,NZ,2021-04-01 14:17:55,-46.1333,167.6833,58.33,70,100,10.07
118,Lofthus,NO,2021-04-01 14:17:56,59.9468,10.8018,52.0,41,14,5.26
119,Lavrentiya,RU,2021-04-01 14:17:56,65.5833,-171.0,-6.97,87,100,1.19
120,Honiara,SB,2021-04-01 14:13:06,-9.4333,159.95,78.26,87,85,2.53
121,Abha,SA,2021-04-01 14:13:28,18.2164,42.5053,80.6,29,20,17.27
122,Kalevala,RU,2021-04-01 14:17:57,65.2,31.1667,35.96,79,93,10.65
123,Mawlaik,MM,2021-04-01 14:17:57,23.6333,94.4167,81.57,32,21,1.43
124,Kampene,CD,2021-04-01 14:17:57,-3.6,26.6667,84.24,53,62,3.91
125,Ossora,RU,2021-04-01 14:17:57,59.2353,163.0719,29.64,97,100,4.94
126,Souillac,MU,2021-04-01 14:17:58,-20.5167,57.5167,82.4,78,40,6.91
127,Sangar,RU,2021-04-01 14:17:58,63.9242,127.4739,20.3,95,100,9.35
128,Nucet,RO,2021-04-01 14:17:58,44.7833,25.55,63.0,36,0,6.91
129,Okha,RU,2021-04-01 14:17:59,53.5739,142.9478,19.67,92,78,7.74
130,Nadym,RU,2021-04-01 14:17:59,65.5333,72.5167,31.93,95,100,12.75
131,San Ignacio,BZ,2021-04-01 14:17:59,17.1561,-89.0714,78.8,83,75,3.18
132,Moose Factory,CA,2021-04-01 14:18:00,51.2585,-80.6094,8.6,66,1,2.3
133,Severo-Kurilsk,RU,2021-04-01 14:18:00,50.6789,156.125,32.32,93,98,31.56
134,Port Elizabeth,ZA,2021-04-01 14:18:00,-33.918,25.5701,68.0,73,20,13.8
135,Shingu,JP,2021-04-01 14:18:01,33.7333,135.9833,59.32,90,100,5.61
136,Xuanwu,CN,2021-04-01 14:18:01,32.069,118.8138,57.2,100,90,2.24
137,Lompoc,US,2021-04-01 14:18:02,34.6391,-120.4579,53.6,66,2,6.91
138,Faanui,PF,2021-04-01 14:18:02,-16.4833,-151.75,80.71,73,97,4.29
139,Thompson,CA,2021-04-01 14:18:02,55.7435,-97.8558,24.8,68,75,5.75
140,Noumea,NC,2021-04-01 14:18:02,-22.2763,166.4572,73.4,83,0,2.3
141,Pevek,RU,2021-04-01 14:18:03,69.7008,170.3133,-9.53,96,97,0.4
142,Saint Anthony,US,2021-04-01 14:18:03,45.0205,-93.218,30.0,54,1,2.98
143,Sakaide,JP,2021-04-01 14:18:03,34.3167,133.85,57.0,57,100,9.19
144,Pisco,PE,2021-04-01 14:18:04,-13.7,-76.2167,71.6,73,1,4.61
145,Yumen,CN,2021-04-01 14:18:04,40.2833,97.2,43.93,28,100,10.33
146,Mahebourg,MU,2021-04-01 14:16:06,-20.4081,57.7,82.4,78,40,6.91
147,Slavsk,RU,2021-04-01 14:18:04,55.0425,21.677,37.94,91,100,11.1
148,Gombe,NG,2021-04-01 14:18:05,10.2897,11.1673,95.0,10,98,5.75
149,Aracaju,BR,2021-04-01 14:18:05,-10.9111,-37.0717,86.0,66,75,13.8
150,Ariquemes,BR,2021-04-01 14:18:05,-9.9133,-63.0408,82.62,70,99,1.79
151,Chapais,CA,2021-04-01 14:18:06,49.7834,-74.8492,8.6,72,90,12.66
152,Santiago Del Estero,AR,2021-04-01 14:18:06,-27.7951,-64.2615,66.4,73,100,5.32
153,Svetlogorsk,BY,2021-04-01 14:18:06,52.6333,29.7333,62.6,45,63,9.35
154,Carnarvon,AU,2021-04-01 14:18:06,-24.8667,113.6333,80.6,89,75,8.05
155,Katherine,AU,2021-04-01 14:18:07,-14.4667,132.2667,84.2,45,90,13.8
156,Wawa,NG,2021-04-01 14:18:07,9.9022,4.4192,99.37,13,53,5.3
157,Yokkaichi,JP,2021-04-01 14:18:07,34.9667,136.6167,61.0,88,75,14.97
158,Hailar,CN,2021-04-01 14:18:08,49.2,119.7,47.5,42,100,9.75
159,Sayaxche,GT,2021-04-01 14:18:08,16.5167,-90.1667,76.28,75,35,0.94
160,Port Macquarie,AU,2021-04-01 14:15:34,-31.4333,152.9167,63.0,98,27,1.99
161,Urubamba,PE,2021-04-01 14:18:09,-13.3047,-72.1158,50.0,71,75,2.3
162,Bandarbeyla,SO,2021-04-01 14:18:09,9.4942,50.8122,81.88,55,3,8.9
163,Birin,NP,2021-04-01 14:18:09,26.8865,88.0718,77.0,73,40,6.91
164,Rabo De Peixe,PT,2021-04-01 14:18:10,37.8,-25.5833,62.6,77,20,9.22
165,San Cristobal,VE,2021-04-01 14:18:10,7.7669,-72.225,77.0,100,40,4.61
166,Te Anau,NZ,2021-04-01 14:18:10,-45.4167,167.7167,53.42,68,100,5.77
167,Lebu,CL,2021-04-01 14:18:10,-37.6167,-73.65,59.14,81,91,10.04
168,Vondrozo,MG,2021-04-01 14:18:11,-22.8167,47.2833,69.39,89,91,3.74
169,La Ronge,CA,2021-04-01 14:18:12,55.1001,-105.2842,26.6,86,100,3.44
170,Butaritari,KI,2021-04-01 14:18:12,3.0707,172.7902,81.41,81,78,16.49
171,Siderno,IT,2021-04-01 14:18:13,38.2779,16.302,69.8,40,0,14.97
172,Kasongo-Lunda,CD,2021-04-01 14:18:13,-6.4667,16.8167,77.63,79,100,1.7
173,Longyearbyen,SJ,2021-04-01 14:18:13,78.2186,15.6401,30.2,69,40,12.66
174,Acapulco,MX,2021-04-01 14:16:43,16.8634,-99.8901,82.4,51,40,5.75
175,Kedrovyy,RU,2021-04-01 14:18:14,56.1667,91.8167,30.2,74,40,13.42
176,Harboore,DK,2021-04-01 14:18:14,56.6175,8.1807,50.0,67,84,4.0
177,Ayan,RU,2021-04-01 14:18:14,56.45,138.1667,18.1,85,62,7.07
178,Brazzaville,CG,2021-04-01 14:18:14,-4.2658,15.2832,91.4,49,75,4.61
