City_ID,City,Country,Lat,Lng,Max Temp,Current Description,Hotel Name
206,Savannah Bight,HN,16.45,-85.85,82.4,broken clouds,Villa on Dunbar Rock
207,Alofi,NU,-19.0595,-169.9187,80.6,broken clouds,Taloa Heights
215,Araouane,ML,18.9048,-3.5265,86.07,clear sky,
217,Miri,MY,4.4148,114.0089,77.0,scattered clouds,"Mega Hotel, Miri"
219,Cacoal,BR,-11.4386,-61.4472,81.99,overcast clouds,Hotel BR 364
221,Mubi,NG,10.2676,13.2644,82.6,few clouds,Hotel
224,Namibe,AO,-15.1961,12.1522,78.53,light rain,Hotel Chik Chik Namibe
231,Nalut,LY,30.3333,10.85,76.93,overcast clouds,
232,Hithadhoo,MV,-0.6,73.0833,84.02,overcast clouds,Scoop Guest House
233,Rivadavia,AR,-33.1905,-68.4608,82.4,scattered clouds,Posada Del Fin Del Mundo
235,Karratha,AU,-20.7377,116.8463,82.06,scattered clouds,ibis Styles Karratha
237,Saint Peter,BB,13.25,-59.6167,82.4,scattered clouds,Legend Garden Condos
239,Bandarbeyla,SO,9.4942,50.8122,79.45,overcast clouds,JABIR HOTEL
242,Saint-Pierre,RE,-21.3393,55.4781,77.0,clear sky,Lindsey Hôtel
247,Sawankhalok,TH,17.316,99.8319,82.0,moderate rain,Boon Bunleng Resort
248,Bubaque,GW,11.2833,-15.8333,76.06,scattered clouds,"Casa Dora, Bubaque"
250,Birnin Kebbi,NG,12.4539,4.1975,84.2,clear sky,Saffar Guest Inn Ltd
251,Cabo San Lucas,MX,22.8909,-109.9124,87.01,few clouds,Hotel Tesoro Los Cabos
253,Sinnamary,GF,5.3833,-52.95,79.14,light rain,ALETHEIA Appartement Sinnamary
256,Kismayo,SO,-0.3582,42.5454,82.36,overcast clouds,Agan-Hotel
260,Ariquemes,BR,-9.9133,-63.0408,84.4,overcast clouds,Hotel Sol Nascente - Ariquemes - RO
262,Labuhan,ID,-6.8844,112.2051,78.96,broken clouds,PT PPI Lamongan Tambak C
267,Kavieng,PG,-2.5744,150.7967,81.72,broken clouds,Nusa Island Retreat
271,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.8,broken clouds,Pousada Porto De Canoas
274,Carmen,MX,18.6333,-91.8333,77.0,clear sky,Hotel Lossandes
277,Santa Fe,AR,-31.6333,-60.7,79.54,scattered clouds,Conquistador Hotel
289,Machali,CL,-34.1833,-70.6667,82.4,clear sky,Mining House
306,Luganville,VU,-15.5333,167.1667,81.12,overcast clouds,The Espiritu Hotel
307,Det Udom,TH,14.905999999999999,105.0784,84.2,few clouds,Chatsuda Resort
308,Bilma,NE,18.6853,12.9164,77.45,clear sky,Expeditions Ténére voyages
317,Palauig,PH,15.435,119.9045,78.73,clear sky,Myhousebythesea
